año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,votos_tipo,votos_cantidad
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,571,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,571,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,134,UNION POR LA PATRIA,POSITIVO,96
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,132,JUNTOS POR EL CAMBIO,POSITIVO,79
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,135,LA LIBERTAD AVANZA,POSITIVO,69
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,133,HACEMOS POR NUESTRO PAIS,POSITIVO,14
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,11
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,EN BLANCO,1
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,NULO,8
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,572,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,135,LA LIBERTAD AVANZA,POSITIVO,95
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,132,JUNTOS POR EL CAMBIO,POSITIVO,82
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,134,UNION POR LA PATRIA,POSITIVO,76
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,8
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,133,HACEMOS POR NUESTRO PAIS,POSITIVO,6
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,undefined,undefined,EN BLANCO,3
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,undefined,undefined,NULO,2
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,573,NATIVOS,355,1,PRESIDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,134,UNION POR LA PATRIA,POSITIVO,100
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,132,JUNTOS POR EL CAMBIO,POSITIVO,75
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,135,LA LIBERTAD AVANZA,POSITIVO,72
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,133,HACEMOS POR NUESTRO PAIS,POSITIVO,9
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,9
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,undefined,undefined,EN BLANCO,1
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,undefined,undefined,NULO,5
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,574,NATIVOS,352,1,PRESIDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,134,UNION POR LA PATRIA,POSITIVO,97
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,135,LA LIBERTAD AVANZA,POSITIVO,78
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,132,JUNTOS POR EL CAMBIO,POSITIVO,73
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,10
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,133,HACEMOS POR NUESTRO PAIS,POSITIVO,8
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,EN BLANCO,6
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,5,Sección Quinta,50,General Pueyrredón,0365C,0365C,575,NATIVOS,348,1,PRESIDENTE/A,undefined,undefined,NULO,0
